
k=1
1	14.392	[1.52 0.713]
6	16.346	[2.54 0.422]
5	20.632	[2.09 1.6]
7	25.530	[-1.48 0.583]
8	28.617	[1.97 0.0185]
2	30.403	[-2.01 1.23]
3	33.847	[0.0795 0.0366]
4	35.299	[2.44 0.217]

k=2
[1 5]	11.584	[1.54 0.604 0.542]
[1 8]	13.828	[1.46 0.655 0.00504]
[1 7]	14.141	[1.12 0.698 0.0621]
[1 3]	14.454	[1.32 0.707 0.00311]
[1 2]	14.774	[-1.05 0.628 0.738]
[1 6]	15.039	[1.48 0.736 -0.0301]
[1 4]	16.237	[1.52 0.699 0.179]
[6 7]	16.569	[0.908 0.364 0.241]
[5 6]	16.867	[2.22 1.2 0.181]
[3 6]	17.596	[1 0.0237 0.4]
[2 6]	17.596	[-1.32 1.06 0.365]
[6 8]	18.710	[2.28 0.296 0.00911]
[5 7]	18.710	[-0.0407 1.43 0.323]
[2 5]	19.726	[-1.51 1.01 1.39]
[5 8]	20.603	[1.91 1.28 0.00966]
[3 5]	22.297	[0.455 0.0255 1.54]
[4 6]	23.337	[2.53 0.255 0.445]
[2 7]	25.806	[-5.73 1.21 0.564]
[3 7]	26.388	[-2.21 0.019 0.51]
[4 5]	27.468	[2.04 0.286 1.74]
[7 8]	28.511	[1.89 0.0129 0.0182]
[2 8]	29.110	[-2.17 1.15 0.0171]
[3 8]	29.962	[0.827 0.0181 0.0172]
[4 7]	30.206	[-1.39 0.208 0.569]
[2 4]	31.359	[-1.76 1.16 0.0519]
[2 3]	31.496	[-2.62 1.16 0.0132]
[4 8]	35.979	[1.94 0.228 0.0188]
[3 4]	36.783	[0.712 0.0267 0.178]

k=3
[1 5 7]	11.484	[1.27 0.595 0.536 0.0411]
[1 5 8]	11.632	[1.5 0.58 0.472 0.00332]
[1 3 5]	11.714	[1.26 0.595 0.00447 0.547]
[1 2 5]	12.016	[-1.02 0.52 0.737 0.538]
[1 5 6]	13.285	[1.37 0.675 0.729 -0.14]
[1 3 8]	13.833	[1.45 0.655 0.000162 0.00504]
[1 7 8]	14.181	[2.4 0.662 -0.152 0.00769]
[1 3 7]	14.188	[1.05 0.696 0.00168 0.0567]
[1 4 5]	14.354	[1.55 0.546 0.218 0.748]
[1 2 3]	14.402	[-0.599 0.639 0.775 -0.00927]
[1 2 7]	14.500	[-1.94 0.594 0.76 0.127]
[1 2 8]	14.778	[-1.22 0.554 0.768 0.0062]
[1 2 6]	14.880	[-1.05 0.632 0.737 -0.00554]
[1 6 7]	14.991	[0.939 0.727 -0.0444 0.0815]
[1 3 6]	15.081	[1.3 0.73 0.00296 -0.0293]
[1 2 4]	15.787	[-0.57 0.636 0.601 0.0973]
[1 3 4]	15.990	[2.01 0.712 -0.00778 0.19]
[1 4 6]	16.011	[1.54 0.685 0.182 0.0181]
[1 4 7]	16.122	[1.14 0.685 0.179 0.0593]
[1 6 8]	16.442	[1.26 0.727 -0.132 0.00775]
[1 4 8]	16.762	[1.46 0.633 0.187 0.00579]
[5 6 7]	16.852	[0.505 1.21 0.118 0.253]
[2 5 6]	16.867	[-1.34 0.99 1.04 0.159]
[3 6 7]	17.236	[0.169 0.0191 0.364 0.167]
[2 3 6]	17.862	[-1.51 1.04 0.00396 0.363]
[2 6 7]	18.299	[-3.36 1.08 0.294 0.289]
[3 5 6]	18.441	[0.741 0.0229 1.19 0.162]
[2 5 7]	18.461	[-3.87 1.02 1.21 0.347]
[6 7 8]	18.477	[1.98 0.297 0.0474 0.0082]
[5 6 8]	18.884	[2 1.16 0.0775 0.00802]
[3 6 8]	19.557	[1.1 0.0187 0.297 0.00773]
[3 5 7]	19.782	[-0.723 0.0175 1.43 0.256]
[5 7 8]	19.866	[1.19 1.29 0.116 0.00743]
[2 3 5]	20.344	[-1.85 0.973 0.00707 1.39]
[2 4 6]	20.604	[-0.686 0.886 0.124 0.386]
[2 5 8]	20.871	[-1.73 1.02 1.06 0.00994]
[2 6 8]	21.104	[-1.68 1.08 0.225 0.01]
[3 5 8]	21.873	[0.753 0.0184 1.28 0.00834]
[4 6 7]	23.434	[1.23 0.248 0.399 0.191]
[3 4 6]	23.584	[1.94 0.0091 0.24 0.436]
[2 4 5]	23.749	[-0.648 0.757 0.17 1.53]
[4 5 6]	24.672	[2.17 0.286 1.34 0.178]
[2 3 7]	25.383	[-5.53 1.26 -0.00934 0.6]
[4 5 7]	26.061	[0.225 0.276 1.59 0.275]
[4 6 8]	26.183	[2.28 0.25 0.327 0.00848]
[2 4 7]	26.799	[-5.51 1.15 0.0443 0.562]
[3 4 5]	27.956	[1.46 0.00904 0.272 1.71]
[2 7 8]	28.573	[-2.64 1.16 0.0722 0.0158]
[2 3 8]	28.606	[-1.9 1.18 -0.00589 0.0175]
[4 5 8]	28.809	[1.87 0.28 1.44 0.00899]
[3 4 7]	30.387	[-1.66 0.00672 0.198 0.544]
[3 7 8]	30.674	[1.15 0.0191 -0.0616 0.0182]
[2 4 8]	31.556	[-1.8 1.04 0.0788 0.0173]
[2 3 4]	32.186	[-2.37 1.12 0.0119 0.0406]
[3 4 8]	36.145	[1.67 0.00427 0.222 0.0185]
[4 7 8]	36.505	[2.25 0.23 -0.0494 0.0197]

k=4
[1 3 5 7]	11.613	[1.12 0.591 0.00373 0.542 0.0291]
[1 2 3 5]	11.636	[-0.642 0.532 0.768 -0.00784 0.529]
[1 3 5 8]	11.711	[1.35 0.576 0.00243 0.478 0.00319]
[1 5 7 8]	11.920	[2.1 0.588 0.448 -0.0978 0.00511]
[1 2 5 7]	11.956	[-1.77 0.495 0.755 0.523 0.106]
[1 2 5 8]	12.582	[-1.16 0.485 0.759 0.442 0.00458]
[1 2 5 6]	13.112	[-1.09 0.578 0.718 0.684 -0.109]
[1 5 6 7]	13.186	[0.688 0.663 0.741 -0.159 0.103]
[1 3 5 6]	13.422	[1.11 0.667 0.00422 0.733 -0.139]
[1 2 4 5]	13.690	[-0.326 0.506 0.539 0.14 0.672]
[1 3 4 5]	13.964	[2.06 0.559 -0.00812 0.229 0.75]
[1 2 3 7]	14.031	[-1.59 0.599 0.827 -0.0146 0.179]
[1 2 3 8]	14.069	[-0.554 0.563 0.828 -0.0142 0.00694]
[1 3 7 8]	14.343	[2.3 0.659 0.00264 -0.162 0.00773]
[1 4 5 7]	14.355	[1.36 0.54 0.217 0.744 0.0296]
[1 2 3 6]	14.530	[-0.602 0.645 0.774 -0.00929 -0.00672]
[1 5 6 8]	14.697	[1.18 0.67 0.699 -0.23 0.0072]
[1 4 5 6]	14.843	[1.42 0.603 0.211 0.886 -0.107]
[1 2 7 8]	14.978	[-0.654 0.558 0.76 -0.0871 0.0077]
[1 3 6 7]	15.000	[0.903 0.726 0.000921 -0.0436 0.0783]
[1 2 6 7]	15.003	[-2.05 0.614 0.757 -0.0295 0.14]
[1 4 5 8]	15.050	[1.51 0.522 0.218 0.677 0.00345]
[1 2 3 4]	15.249	[0.15 0.654 0.635 -0.0134 0.111]
[1 2 4 6]	15.560	[-0.548 0.623 0.601 0.0994 0.0163]
[1 2 4 7]	15.596	[-1.39 0.606 0.626 0.0936 0.114]
[1 3 4 6]	15.758	[2.03 0.697 -0.00782 0.193 0.019]
[1 3 4 7]	15.823	[1.58 0.694 -0.0103 0.193 0.0914]
[1 4 6 7]	16.033	[1.17 0.679 0.18 0.00792 0.0558]
[1 2 4 8]	16.373	[-0.726 0.56 0.625 0.102 0.00639]
[1 3 4 8]	16.376	[2.22 0.646 -0.0123 0.204 0.00642]
[1 3 6 8]	16.408	[1.4 0.732 -0.00221 -0.135 0.0079]
[1 2 6 8]	17.093	[-1.37 0.619 0.76 -0.118 0.00861]
[2 3 5 6]	17.258	[-1.56 0.968 0.0046 1.04 0.156]
[2 5 6 7]	17.270	[-3.43 1.01 1.05 0.0851 0.296]
[1 6 7 8]	17.418	[2.42 0.743 -0.146 -0.189 0.0113]
[1 4 7 8]	17.536	[2.69 0.641 0.191 -0.199 0.00926]
[3 5 6 7]	17.805	[-0.178 0.0178 1.2 0.12 0.184]
[1 4 6 8]	17.899	[1.34 0.678 0.178 -0.0802 0.00739]
[2 3 5 7]	18.093	[-3.74 1.05 -0.0061 1.21 0.371]
[2 3 6 7]	18.119	[-3.25 1.11 -0.00607 0.292 0.314]
[5 6 7 8]	18.251	[1.28 1.17 0.0773 0.116 0.00581]
[3 6 7 8]	19.768	[1.24 0.0192 0.297 -0.0272 0.00821]
[2 5 7 8]	19.923	[-2.69 1.02 1.08 0.151 0.00703]
[2 5 6 8]	19.940	[-1.66 1.01 0.996 0.0421 0.00904]
[3 5 6 8]	19.999	[0.834 0.0186 1.16 0.0794 0.00666]
[2 3 4 6]	20.572	[-0.65 0.888 -0.000671 0.124 0.387]
[2 6 7 8]	20.623	[-2.29 1.08 0.227 0.095 0.00823]
[2 3 5 8]	20.671	[-1.61 1.03 -0.00255 1.06 0.0101]
[2 4 6 7]	20.856	[-2.61 0.929 0.108 0.319 0.261]
[2 3 6 8]	20.904	[-1.51 1.1 -0.0038 0.224 0.0103]
[2 4 5 6]	21.286	[-0.456 0.736 0.173 1.17 0.163]
[3 5 7 8]	21.433	[0.509 0.0177 1.28 0.0466 0.0075]
[2 4 5 7]	22.291	[-2.88 0.8 0.152 1.35 0.315]
[3 4 6 7]	23.474	[1.06 0.00415 0.242 0.398 0.176]
[2 3 4 5]	23.822	[-0.7 0.754 0.000977 0.169 1.53]
[2 4 6 8]	23.980	[-1.09 0.918 0.113 0.25 0.00961]
[4 5 6 7]	24.572	[0.823 0.278 1.34 0.129 0.198]
[3 4 5 6]	24.953	[1.79 0.00594 0.276 1.33 0.174]
[2 4 5 8]	25.242	[-0.908 0.781 0.16 1.2 0.00949]
[3 4 5 7]	26.069	[0.216 0.000207 0.276 1.59 0.274]
[3 4 6 8]	26.224	[2.06 0.00351 0.245 0.327 0.00823]
[4 6 7 8]	26.299	[2.39 0.25 0.327 -0.0169 0.0088]
[2 3 4 7]	26.474	[-5.21 1.19 -0.0113 0.0543 0.605]
[4 5 6 8]	27.079	[1.97 0.281 1.3 0.0857 0.00718]
[2 3 7 8]	27.749	[-2.48 1.19 -0.00787 0.105 0.0157]
[4 5 7 8]	28.360	[1.55 0.279 1.44 0.0525 0.00799]
[3 4 5 8]	28.853	[1.81 0.00111 0.278 1.43 0.00892]
[2 3 4 8]	31.023	[-1.32 1.08 -0.0093 0.0886 0.018]
[2 4 7 8]	31.127	[-2.1 1.05 0.0769 0.0459 0.0165]
[3 4 7 8]	36.950	[2.03 0.00536 0.222 -0.0682 0.0197]

k=5
[1 2 3 5 7]	11.498	[-1.48 0.503 0.812 -0.0124 0.502 0.151]
[1 2 3 5 8]	12.038	[-0.599 0.497 0.81 -0.0119 0.413 0.00531]
[1 3 5 7 8]	12.142	[1.94 0.583 0.00403 0.454 -0.112 0.00515]
[1 2 5 7 8]	12.688	[-0.927 0.488 0.756 0.433 -0.0352 0.00521]
[1 2 3 5 6]	12.700	[-0.712 0.589 0.749 -0.00773 0.675 -0.108]
[1 2 3 4 5]	12.966	[0.38 0.524 0.572 -0.0131 0.154 0.67]
[1 2 5 6 7]	13.183	[-2.22 0.556 0.741 0.702 -0.139 0.159]
[1 3 5 6 7]	13.234	[0.621 0.661 0.00172 0.742 -0.158 0.0968]
[1 2 4 5 7]	13.697	[-0.92 0.487 0.558 0.136 0.657 0.0822]
[1 3 4 5 7]	13.947	[1.77 0.549 -0.00975 0.231 0.741 0.0603]
[1 2 3 7 8]	14.124	[-0.371 0.564 0.823 -0.0136 -0.0324 0.00747]
[1 2 4 5 6]	14.232	[-0.406 0.557 0.529 0.135 0.797 -0.0961]
[1 3 4 5 6]	14.402	[1.92 0.615 -0.00793 0.222 0.886 -0.106]
[1 2 4 5 8]	14.578	[-0.466 0.472 0.564 0.137 0.578 0.00433]
[1 3 4 5 8]	14.633	[2.19 0.535 -0.011 0.234 0.666 0.00405]
[1 3 5 6 8]	14.680	[1.21 0.671 -0.000568 0.699 -0.231 0.00724]
[1 2 3 6 7]	14.721	[-1.73 0.628 0.827 -0.0153 -0.0417 0.2]
[1 4 5 6 7]	14.862	[0.908 0.595 0.209 0.894 -0.122 0.0775]
[1 2 3 4 6]	15.009	[0.175 0.641 0.635 -0.0134 0.114 0.0177]
[1 2 3 4 7]	15.058	[-0.843 0.614 0.687 -0.0187 0.111 0.178]
[1 2 5 6 8]	15.296	[-1.38 0.568 0.741 0.649 -0.209 0.00808]
[1 5 6 7 8]	15.438	[1.98 0.683 0.673 -0.236 -0.131 0.00969]
[1 4 5 7 8]	15.554	[2.3 0.532 0.22 0.647 -0.127 0.00577]
[1 2 3 4 8]	15.607	[0.273 0.574 0.677 -0.0191 0.122 0.00742]
[1 2 4 6 7]	15.659	[-1.41 0.609 0.626 0.0929 -0.00515 0.117]
